product_description,store,Sum_dollar_sales,Per_Female_21,Per_male_21,Per_age_21_below,Per_age_22_34,Per_age_35_44,per_age_45_54,per_age_55_64,Per_age_65_above,Per_income_low,Per_income_mid,Per_income_High,Per_asian_21_plus,Per_Hisp_21_plus,Per_AFAM_21_plus,Per_white_21_plus,store_zip_code,Total_Sales_in_the_TA,Product_dollar_sales,Cumm_Sales,Sales_contribution,target_variable
A J BTRMLK COMP PNCK MIX,229,62.58,0.504678651,0.495321349,0.276486084,0.27978213,0.148576592,0.103640922,9.01E-02,9.96E-02,0.145115107,0.2277326,2.88E-02,4.89E-02,0.145675053,0.107624174,0.465162448,37211,210.16,7568.84,210.16,2.78E-02,1
A J BTRMLK COMP PNCK MIX,283,61.09,0.504678651,0.495321349,0.276486084,0.27978213,0.148576592,0.103640922,9.01E-02,9.96E-02,0.145115107,0.2277326,2.88E-02,4.89E-02,0.145675053,0.107624174,0.465162448,37211,210.16,7568.84,420.32,5.55E-02,1
A J BTRMLK COMP PNCK MIX,321,40.3,0.504678651,0.495321349,0.276486084,0.27978213,0.148576592,0.103640922,9.01E-02,9.96E-02,0.145115107,0.2277326,2.88E-02,4.89E-02,0.145675053,0.107624174,0.465162448,37211,210.16,7568.84,630.48,8.33E-02,1
A J BTRMLK COMP PNCK MIX,330,35.76,0.504678651,0.495321349,0.276486084,0.27978213,0.148576592,0.103640922,9.01E-02,9.96E-02,0.145115107,0.2277326,2.88E-02,4.89E-02,0.145675053,0.107624174,0.465162448,37211,210.16,7568.84,840.64,0.111065896,1
A J BTRMLK COMP PNCK MIX,331,10.43,0.504678651,0.495321349,0.276486084,0.27978213,0.148576592,0.103640922,9.01E-02,9.96E-02,0.145115107,0.2277326,2.88E-02,4.89E-02,0.145675053,0.107624174,0.465162448,37211,210.16,7568.84,1050.8,0.138832371,1
A J BTRMLK COMP PNCK MIX,155,49.02,0.590199225,0.409800775,0.26977821,0.185606494,0.103949926,0.118669258,0.123956785,0.196838916,0.220732823,0.165628215,2.05E-02,1.17E-03,1.97E-02,0.690551046,2.04E-02,30311,157.38,7568.84,1208.18,0.159625517,1
A J BTRMLK COMP PNCK MIX,172,108.36,0.590199225,0.409800775,0.26977821,0.185606494,0.103949926,0.118669258,0.123956785,0.196838916,0.220732823,0.165628215,2.05E-02,1.17E-03,1.97E-02,0.690551046,2.04E-02,30311,157.38,7568.84,1365.56,0.180418664,1
A J BTRMLK COMP PNCK MIX,17,89.01,0.57916679,0.42083321,0.27024986,0.172096837,0.114831916,0.130777198,0.155461097,0.161092651,0.127454365,0.228088724,2.11E-02,2.80E-03,8.54E-03,0.697557502,1.71E-02,30034,149.04,7568.84,1514.6,0.200109924,1
A J BTRMLK COMP PNCK MIX,68,60.03,0.57916679,0.42083321,0.27024986,0.172096837,0.114831916,0.130777198,0.155461097,0.161092651,0.127454365,0.228088724,2.11E-02,2.80E-03,8.54E-03,0.697557502,1.71E-02,30034,149.04,7568.84,1663.64,0.219801185,1
A J BTRMLK COMP PNCK MIX,109,123.24,0.537545092,0.462454908,0.292806552,0.187304891,0.115638951,0.12698466,0.124567822,0.143868954,0.230035917,0.139773757,1.19E-02,6.34E-03,1.18E-02,0.63801148,4.46E-02,30310,123.24,7568.84,1786.88,0.236083733,1
A J BTRMLK COMP PNCK MIX,16,69.66,0.561136163,0.438863837,0.277199161,0.181889705,0.117600779,0.159411059,0.153304361,0.107485389,0.122845796,0.226921924,1.89E-02,1.03E-02,1.48E-02,0.65397872,4.05E-02,30088,121.26,7568.84,1908.14,0.252104682,1
A J BTRMLK COMP PNCK MIX,41,51.6,0.561136163,0.438863837,0.277199161,0.181889705,0.117600779,0.159411059,0.153304361,0.107485389,0.122845796,0.226921924,1.89E-02,1.03E-02,1.48E-02,0.65397872,4.05E-02,30088,121.26,7568.84,2029.4,0.268125631,1
A J BTRMLK COMP PNCK MIX,362,51.43,0.502757077,0.497242923,0.328692016,0.228916596,0.116951909,0.100998993,9.39E-02,0.106419887,0.193076744,0.165693487,1.22E-02,2.45E-02,4.54E-02,8.53E-02,0.521040812,42101,118.54,7568.84,2147.94,0.283787212,1
A J BTRMLK COMP PNCK MIX,364,67.11,0.502757077,0.497242923,0.328692016,0.228916596,0.116951909,0.100998993,9.39E-02,0.106419887,0.193076744,0.165693487,1.22E-02,2.45E-02,4.54E-02,8.53E-02,0.521040812,42101,118.54,7568.84,2266.48,0.299448793,1
A J BTRMLK COMP PNCK MIX,196,109.65,0.588033537,0.411966463,0.324001717,0.176058394,0.134409618,0.154332331,0.117131816,8.81E-02,0.140575354,0.203589523,2.07E-02,3.92E-03,1.53E-02,0.624302276,2.95E-02,30058,109.65,7568.84,2376.13,0.313935821,1
A J BTRMLK COMP PNCK MIX,190,101.91,0.495114504,0.504885496,0.286628366,0.22699921,0.148283279,0.126609851,9.93E-02,0.106134451,0.195877692,0.118196422,2.60E-02,7.57E-03,5.23E-02,0.563917554,0.106297819,30315,101.91,7568.84,2478.04,0.327400236,1
A J BTRMLK COMP PNCK MIX,380,101.81,0.528333767,0.471666233,0.216217593,0.22385779,0.152345541,0.136148322,0.134060001,0.13711608,0.139000662,0.276218612,2.63E-02,8.71E-03,3.10E-02,0.212397494,0.528548872,37216,101.81,7568.84,2579.85,0.340851438,1
A J BTRMLK COMP PNCK MIX,291,47.26,0.507338587,0.492661413,0.328094827,0.296603068,0.133496885,9.39E-02,7.39E-02,6.63E-02,0.129646947,0.225701065,1.45E-02,2.31E-02,8.69E-02,0.17956254,0.400697118,37042,98.69,7568.84,2678.54,0.353890424,1
A J BTRMLK COMP PNCK MIX,303,34.75,0.507338587,0.492661413,0.328094827,0.296603068,0.133496885,9.39E-02,7.39E-02,6.63E-02,0.129646947,0.225701065,1.45E-02,2.31E-02,8.69E-02,0.17956254,0.400697118,37042,98.69,7568.84,2777.23,0.366929411,1
A J BTRMLK COMP PNCK MIX,350,16.68,0.507338587,0.492661413,0.328094827,0.296603068,0.133496885,9.39E-02,7.39E-02,6.63E-02,0.129646947,0.225701065,1.45E-02,2.31E-02,8.69E-02,0.17956254,0.400697118,37042,98.69,7568.84,2875.92,0.379968397,1
A J BTRMLK COMP PNCK MIX,298,92.38,0.539197426,0.460802574,0.152836549,0.336226063,0.156063975,0.10693538,0.120203686,0.13189414,0.130531449,0.270386574,9.52E-02,1.99E-02,1.93E-02,0.156637739,0.650649071,37204,92.38,7568.84,2968.3,0.392173702,1
A J BTRMLK COMP PNCK MIX,349,91.74,0.528741018,0.471258982,0.28985025,0.190654465,0.129090405,0.115335552,0.107875763,0.149861342,0.131087077,0.255435385,3.32E-02,3.81E-02,1.89E-02,4.31E-02,0.608485857,42104,91.74,7568.84,3060.04,0.404294449,1
A J BTRMLK COMP PNCK MIX,240,86.42,0.535330445,0.464669555,0.254698029,0.220953592,0.132968849,0.120661157,0.116389065,0.153693579,0.191608392,0.213146853,1.67E-02,8.67E-03,0.110387794,0.204297521,0.455359186,37115,86.42,7568.84,3146.46,0.415712315,1
A J BTRMLK COMP PNCK MIX,243,80.62,0.515115517,0.484884483,0.267390913,0.154552548,0.126943161,0.12976412,0.13126463,0.190984935,0.211691975,0.173639037,1.36E-02,4.83E-03,5.18E-02,2.50E-02,0.655092732,37110,80.62,7568.84,3227.08,0.426363881,1
A J BTRMLK COMP PNCK MIX,302,80.46,0.529509215,0.470490785,0.202898551,0.231223796,0.150242646,0.132349543,0.128487009,0.159255224,0.13571688,0.298273415,2.92E-02,2.61E-02,4.16E-02,9.20E-02,0.640817405,37214,80.46,7568.84,3307.54,0.436994308,1
A J BTRMLK COMP PNCK MIX,318,79.05,0.582085929,0.417914071,0.230750078,0.164270153,0.115094927,0.122938064,0.153314659,0.218674136,0.125676937,0.208341114,2.10E-02,5.23E-03,1.45E-02,0.539993775,0.202552132,37218,79.05,7568.84,3386.59,0.447438445,1
A J BTRMLK COMP PNCK MIX,269,34.1,0.520818248,0.479181752,0.287221174,0.133239786,0.144368639,0.147836325,0.130675312,0.158320027,6.88E-02,0.194706537,0.112159481,1.20E-02,5.02E-02,5.10E-02,0.617861002,37064,77.5,7568.84,3464.09,0.457677795,1
A J BTRMLK COMP PNCK MIX,310,3.1,0.520818248,0.479181752,0.287221174,0.133239786,0.144368639,0.147836325,0.130675312,0.158320027,6.88E-02,0.194706537,0.112159481,1.20E-02,5.02E-02,5.10E-02,0.617861002,37064,77.5,7568.84,3541.59,0.467917145,1
A J BTRMLK COMP PNCK MIX,329,40.3,0.520818248,0.479181752,0.287221174,0.133239786,0.144368639,0.147836325,0.130675312,0.158320027,6.88E-02,0.194706537,0.112159481,1.20E-02,5.02E-02,5.10E-02,0.617861002,37064,77.5,7568.84,3619.09,0.478156494,1
A J BTRMLK COMP PNCK MIX,227,43.4,0.549398248,0.450601752,0.222188163,0.194317378,0.139990568,0.129898609,0.14027352,0.180405565,7.90E-02,0.27734025,8.30E-02,3.89E-02,2.06E-02,5.15E-02,0.666682386,37221,77.5,7568.84,3696.59,0.488395844,1
A J BTRMLK COMP PNCK MIX,247,34.1,0.549398248,0.450601752,0.222188163,0.194317378,0.139990568,0.129898609,0.14027352,0.180405565,7.90E-02,0.27734025,8.30E-02,3.89E-02,2.06E-02,5.15E-02,0.666682386,37221,77.5,7568.84,3774.09,0.498635194,1
A J BTRMLK COMP PNCK MIX,71,76.6,0.541503494,0.458496506,0.221398463,0.20827479,0.140115393,0.117784222,0.118053272,0.180413142,0.119966518,0.23715285,8.31E-02,0.143493468,2.66E-02,7.68E-02,0.527936385,30033,76.6,7568.84,3850.69,0.508755635,1
A J BTRMLK COMP PNCK MIX,342,74.5,0.518300555,0.481699445,0.282637258,0.270155298,0.162082409,0.115783919,9.26E-02,7.35E-02,0.112240722,0.244200573,2.05E-02,3.53E-02,0.109957568,0.24375902,0.359069076,37013,74.5,7568.84,3925.19,0.518598623,1
A J BTRMLK COMP PNCK MIX,116,21.42,0.558918196,0.441081804,0.253051922,0.178119829,0.11552031,0.120952886,0.139155141,0.194760998,0.126291798,0.219270037,6.66E-02,3.23E-02,1.91E-02,0.192544257,0.501264479,31210,73.78,7568.84,3998.97,0.528346484,1
A J BTRMLK COMP PNCK MIX,145,24.99,0.558918196,0.441081804,0.253051922,0.178119829,0.11552031,0.120952886,0.139155141,0.194760998,0.126291798,0.219270037,6.66E-02,3.23E-02,1.91E-02,0.192544257,0.501264479,31210,73.78,7568.84,4072.75,0.538094345,1
A J BTRMLK COMP PNCK MIX,4,27.37,0.558918196,0.441081804,0.253051922,0.178119829,0.11552031,0.120952886,0.139155141,0.194760998,0.126291798,0.219270037,6.66E-02,3.23E-02,1.91E-02,0.192544257,0.501264479,31210,73.78,7568.84,4146.53,0.547842206,1
A J BTRMLK COMP PNCK MIX,45,27.09,0.522673356,0.477326644,0.269195242,0.220011653,0.157342011,0.134931575,0.114183803,0.102914636,0.136935298,0.225369126,3.21E-02,0.16581165,0.152908241,0.172149668,0.300615328,30096,73.53,7568.84,4220.06,0.557557036,1
A J BTRMLK COMP PNCK MIX,65,46.44,0.522673356,0.477326644,0.269195242,0.220011653,0.157342011,0.134931575,0.114183803,0.102914636,0.136935298,0.225369126,3.21E-02,0.16581165,0.152908241,0.172149668,0.300615328,30096,73.53,7568.84,4293.59,0.567271867,1
A J BTRMLK COMP PNCK MIX,70,30.96,0.518500684,0.481499316,0.236346042,0.277278885,0.186510548,0.118540739,0.087323398,9.37E-02,0.135784788,0.262937875,6.71E-02,4.76E-02,0.117727889,0.25304819,0.388097542,30080,69.66,7568.84,4363.25,0.576475391,1
A J BTRMLK COMP PNCK MIX,98,38.7,0.518500684,0.481499316,0.236346042,0.277278885,0.186510548,0.118540739,0.087323398,9.37E-02,0.135784788,0.262937875,6.71E-02,4.76E-02,0.117727889,0.25304819,0.388097542,30080,69.66,7568.84,4432.91,0.585678915,1
A J BTRMLK COMP PNCK MIX,235,49.17,0.511572082,0.488427918,0.272492133,0.1778283,0.137251026,0.146213282,0.127382659,0.134598593,7.72E-02,0.246906868,4.63E-02,1.96E-02,3.11E-02,7.38E-02,0.607209344,37129,68.54,7568.84,4501.45,0.594734464,1
A J BTRMLK COMP PNCK MIX,351,19.37,0.511572082,0.488427918,0.272492133,0.1778283,0.137251026,0.146213282,0.127382659,0.134598593,7.72E-02,0.246906868,4.63E-02,1.96E-02,3.11E-02,7.38E-02,0.607209344,37129,68.54,7568.84,4569.99,0.603790013,1
A J BTRMLK COMP PNCK MIX,267,68.2,0.485500942,0.514499058,0.156887911,0.435399095,0.123090087,9.97E-02,9.63E-02,8.35E-02,0.268793546,0.213543577,5.58E-02,6.99E-02,3.59E-02,0.277533309,0.459845985,37203,68.2,7568.84,4638.19,0.612800641,1
A J BTRMLK COMP PNCK MIX,107,67.77,0.572578121,0.427421879,0.313794367,0.208753996,0.146169495,0.125080552,0.109766114,9.24E-02,0.143136933,0.210434541,2.16E-02,9.60E-03,1.73E-02,0.626350438,2.92E-02,30349,67.77,7568.84,4705.96,0.621754456,1
A J BTRMLK COMP PNCK MIX,135,25.8,0.518818966,0.481181034,0.327436685,0.111809973,0.144128368,0.185250042,0.122614538,0.105019894,3.86E-02,0.18287947,0.10554404,0.169906845,4.45E-02,7.35E-02,0.401269864,30024,67.08,7568.84,4773.04,0.630617109,1
A J BTRMLK COMP PNCK MIX,177,15.48,0.518818966,0.481181034,0.327436685,0.111809973,0.144128368,0.185250042,0.122614538,0.105019894,3.86E-02,0.18287947,0.10554404,0.169906845,4.45E-02,7.35E-02,0.401269864,30024,67.08,7568.84,4840.12,0.639479762,1
